,Date,Adj_Close,Close,High,Low,Open,Volume,GDP,CPI,Unemployment_Rate,Fed_Funds_Rate
0,2014-04-01,48.5418701171875,66.3499984741211,66.6500015258789,65.94999694824219,66.3499984741211,4222732.0,18185.911,236.468,6.2,0.09
1,2014-04-02,49.27346420288086,67.3499984741211,67.75,67.0999984741211,67.25,9080139.0,18189.594833333333,236.4905,6.205,0.09
2,2014-04-03,49.383209228515625,67.5,67.9000015258789,67.4000015258789,67.44999694824219,5181512.0,18193.278666666665,236.51299999999998,6.21,0.09
3,2014-04-04,49.34662628173828,67.44999694824219,67.94999694824219,67.30000305175781,67.8499984741211,4858857.0,18196.9625,236.53549999999998,6.215,0.09
4,2014-04-07,49.16373062133789,67.19999694824219,67.3499984741211,66.69999694824219,66.69999694824219,5077937.0,18200.646333333334,236.558,6.22,0.09
5,2014-04-08,50.04165267944336,68.4000015258789,68.6500015258789,67.44999694824219,67.44999694824219,9039880.0,18204.330166666667,236.5805,6.225,0.09
6,2014-04-09,50.04165267944336,68.4000015258789,68.75,68.0,68.75,87281982.0,18208.014,236.603,6.23,0.09
7,2014-04-10,49.895328521728516,68.19999694824219,68.44999694824219,67.80000305175781,68.19999694824219,7008824.0,18211.69783333333,236.6255,6.235,0.09
8,2014-04-11,49.49294662475586,67.6500015258789,68.0999984741211,67.19999694824219,68.05000305175781,10517325.0,18215.381666666668,236.648,6.24,0.09
9,2014-04-14,50.58858871459961,66.94999694824219,67.19999694824219,65.75,65.94999694824219,13074740.0,18219.0655,236.6705,6.245,0.09
10,2014-04-15,50.513031005859375,66.8499984741211,67.44999694824219,66.5999984741211,67.05000305175781,7758001.0,18222.749333333333,236.69299999999998,6.25,0.09
11,2014-04-16,50.39968490600586,66.69999694824219,67.05000305175781,66.4000015258789,67.0,5511405.0,18226.433166666666,236.7155,6.255,0.09
12,2014-04-17,50.815277099609375,67.25,67.25,66.25,66.69999694824219,6274665.0,18230.117,236.738,6.26,0.09
13,2014-04-22,50.77749252319336,67.19999694824219,67.4000015258789,67.05000305175781,67.1500015258789,5569494.0,18233.800833333335,236.7605,6.265,0.09
14,2014-04-23,50.70193099975586,67.0999984741211,67.25,66.94999694824219,67.05000305175781,2820878.0,18237.484666666667,236.78300000000002,6.27,0.09
15,2014-04-24,50.77749252319336,67.19999694824219,67.4000015258789,66.6500015258789,67.30000305175781,4331146.0,18241.1685,236.8055,6.275,0.09
16,2014-04-25,50.513031005859375,66.8499984741211,67.19999694824219,66.80000305175781,66.9000015258789,3731591.0,18244.852333333332,236.828,6.28,0.09
17,2014-04-28,50.66415023803711,67.05000305175781,67.30000305175781,66.9000015258789,67.0,5086114.0,18248.536166666665,236.8505,6.285,0.09
18,2014-04-29,50.96640396118164,67.44999694824219,67.6500015258789,67.0999984741211,67.30000305175781,4853404.0,18252.22,236.873,6.29,0.09
19,2014-04-30,51.34421157836914,67.94999694824219,67.94999694824219,67.44999694824219,67.5,5533843.0,18255.903833333334,236.8955,6.295,0.09
20,2014-05-01,51.249755859375,67.82499694824219,67.9749984741211,67.4749984741211,67.67499923706055,4813920.0,18259.587666666666,236.918,6.3,0.09
21,2014-05-02,51.15530014038086,67.69999694824219,68.0,67.5,67.8499984741211,4093997.0,18263.096079365077,236.93290476190478,6.29047619047619,0.09047619047619047
22,2014-05-05,51.193077087402344,67.75,67.75,67.05000305175781,67.75,2238696.0,18266.604492063492,236.94780952380952,6.280952380952381,0.09095238095238095
23,2014-05-06,51.193077087402344,67.75,68.05000305175781,67.5,68.0,2906599.0,18270.112904761903,236.9627142857143,6.271428571428571,0.09142857142857143
24,2014-05-07,52.024261474609375,68.8499984741211,68.8499984741211,67.75,67.8499984741211,6144982.0,18273.621317460318,236.97761904761904,6.261904761904762,0.0919047619047619
25,2014-05-08,51.79758071899414,68.55000305175781,69.25,68.30000305175781,69.0,8045790.0,18277.12973015873,236.99252380952382,6.252380952380952,0.09238095238095238
